Line Item	Price	Unit	HSN	Applicable Site(s)	Site Count	Source PO/Invoice Count	Example Source File	App Display Name
HAND GLOVES - RED	25	PAIR	4015	NOIDA, SIGMA 2ND FLOOR, SIGMA 7TH FLOOR	3	3	Hk Mumbai/PARSVATECH JULY26 SIGMA 2ND FLOOR (1).pdf	HAND GLOVES - RED — ₹25
HAND GLOVES BLUE	25	PAIR	4015	ETPL THANE, NOIDA	2	2	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	HAND GLOVES BLUE — ₹25
HAND GLOVES RUBBER [PAIR] | HSN 6116	29.1	PAIR		SS Plaza	1	1	Stepier - Banglore.pdf	HAND GLOVES RUBBER [PAIR] | HSN 6116
HANS REGISTER 192 PAGE (FS)	85	PCS		Arcil Sky Mark - Noida	1	1	FCGC- Delhi.pdf	HANS REGISTER 192 PAGE (FS)
HANS REGISTER 240 (FS)	102	PCS		Arcil Sky Mark - Noida	1	1	FCGC- Delhi.pdf	HANS REGISTER 240 (FS)
HANSAPLAST REGULAR (FS)	2.2	PCS		Arcil Sky Mark - Noida	1	1	FCGC- Delhi.pdf	HANSAPLAST REGULAR (FS)
HARD BROOM	43.05	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	HARD BROOM
HARPIC BLUE 5LTR (FS)	851	CAN		Mahindra Finance - Delhi	1	1	FCGC- Delhi.pdf	HARPIC BLUE 5LTR (FS)
HIGHLIGHTER [NOS] | HSN 960820	18	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	HIGHLIGHTER [NOS] | HSN 960820
HIT SPARY BIG BLACK	175	CAN	3808	CHARNI ROAD	1	1	Hk Mumbai/PARSVATECH JULY26 CHARNI ROAD (2).pdf	HIT SPARY BIG BLACK
HIT SPRAY BIG RED	175	CAN	3808	3I SAKINAKA, MyGate	2	2	Hk Mumbai/PARSVATECH JULY26 MYGATE.pdf	HIT SPRAY BIG RED — ₹175
HIT SPRAY BLACK	120	CAN		SS Plaza	1	1	Stepier - Banglore.pdf	HIT SPRAY BLACK
HIT SPRAY RED	120	CAN		AMR Tech Park	1	1	Stepier - Banglore.pdf	HIT SPRAY RED
Hand Gloves Rubber	29.1	PAIR		SS Plaza	1	2	Stepier - Banglore.pdf	Hand Gloves Rubber
Hand Sanitizer 5 Ltr	720	CAN		SS Plaza	1	1	Stepier - Banglore.pdf	Hand Sanitizer 5 Ltr
Handwash (5Ltr) (FS)	495	CAN		Mahindra Finance - Delhi	1	1	FCGC- Delhi.pdf	Handwash (5Ltr) (FS)
Handwash Pink Greenar (5Ltr) (FS)	495	CAN		Mahindra Finance - Delhi	1	1	FCGC- Delhi.pdf	Handwash Pink Greenar (5Ltr) (FS)
IRIS LEMON GRASS 1LTR [LTR] | HSN 33074900	1050	LTR		SS Plaza	1	1	Stepier - Banglore.pdf	IRIS LEMON GRASS 1LTR [LTR] | HSN 33074900
Id Card Teg (UOM: PCS)	40	PCS		AMR Tech Park	1	1	Stepier - Banglore.pdf	Id Card Teg (UOM: PCS)
Iris Lemon Grass 1 Ltr	1050	LTR		SS Plaza	1	1	Stepier - Banglore.pdf	Iris Lemon Grass 1 Ltr
JET SPRAY PIPE SET	425	SET		Mahindra Finance - Delhi	1	1	FCGC- Delhi.pdf	JET SPRAY PIPE SET
JK A COPIER 70 GSM A/4	174.6	PKT		SS Plaza	1	1	Stepier - Banglore.pdf	JK A COPIER 70 GSM A/4
KANGARO STEPLER PIN NO 10 [NOS] | HSN 8503	5.5	BOX		SS Plaza	1	1	Stepier - Banglore.pdf	KANGARO STEPLER PIN NO 10 [NOS] | HSN 8503
KANGROO STAPLER MACHINE HP 45	190	PCS	84729010	D WING	1	1	Hk Mumbai/PARSVATECH JULY26 D WING.pdf	KANGROO STAPLER MACHINE HP 45
KEY CHAIN	90	BOX		SS Plaza	1	1	Stepier - Banglore.pdf	KEY CHAIN
KEY CHAIN [BOX] | HSN 3926	87.5	BOX		SS Plaza	1	1	Stepier - Banglore.pdf	KEY CHAIN [BOX] | HSN 3926
KITCHEN WIPER [NOS] | HSN 96039000	29.1	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	KITCHEN WIPER [NOS] | HSN 96039000
Kangaro Punch Dp-52	85	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Kangaro Punch Dp-52
Kangaro Stapler Pin No 10	5.5	BOX		SS Plaza	1	1	Stepier - Banglore.pdf	Kangaro Stapler Pin No 10
Key Chain	87.5	BOX		SS Plaza	1	1	Stepier - Banglore.pdf	Key Chain
Kitchen Wiper	27.16	PCS		SS Plaza	1	2	Stepier - Banglore.pdf	Kitchen Wiper
LEMON GRASS OIL	1450	BOTT	3307	ETPL THANE, NOIDA, SIGMA 2ND FLOOR, SIGMA 7TH FLOOR	4	4	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	LEMON GRASS OIL — ₹1450
LIQUID HAND WASH 5 LTR	410	CAN	3402	3I SAKINAKA, ETPL THANE, MyGate, NOIDA, SIGMA 2ND FLOOR, SIGMA 7TH FLOOR	6	6	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	LIQUID HAND WASH 5 LTR — ₹410
Lamination Sheet A3	890	PKT		SS Plaza	1	1	Stepier - Banglore.pdf	Lamination Sheet A3
Lamination Sheet A4 [PKT] | HSN 39206939	450	PKT		SS Plaza	1	1	Stepier - Banglore.pdf	Lamination Sheet A4 [PKT] | HSN 39206939
Lizol 5Ltr (FS)	848	CAN		Sky mark - Noida	1	1	FCGC- Delhi.pdf	Lizol 5Ltr (FS)
M FOLDTISSUE (FS)	28	PKT		Mahindra Finance - Delhi	1	1	FCGC- Delhi.pdf	M FOLDTISSUE (FS)
M Fold Despenser	550	PCS		MyGate - VKG	1	1	Shree krishna ent - Tissue.pdf	M Fold Despenser
M Fold Tissue	22	PKT		SS Plaza	1	2	Stepier - Banglore.pdf	M Fold Tissue
M Fold Tissue (FS)	28	PKT		Mahindra Finance - Delhi	1	2	FCGC- Delhi.pdf	M Fold Tissue (FS)
M Fold Tissue [PKT] | HSN 48182000	22	PKT		SS Plaza	1	1	Stepier - Banglore.pdf	M Fold Tissue [PKT] | HSN 48182000
M Fold Tissue-P	34	PKT		B wing - Mafatlal Chambers, NRK Star - Indore	2	2	Shree krishna ent - Tissue.pdf	M Fold Tissue-P — ₹34
M/T WATER BOTTEL CELLO	135	PCS	3923	3I SAKINAKA, MyGate, NOIDA	3	3	Hk Mumbai/PARSVATECH JULY26 NOIDA (1).pdf	M/T WATER BOTTEL CELLO — ₹135
MASKING TAP1 ENCH ABROO MK	35	PCS	4811	ETPL THANE	1	1	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	MASKING TAP1 ENCH ABROO MK
MASKING TAPE 1 inch [NOS] | HSN 4811	24.25	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	MASKING TAPE 1 inch [NOS] | HSN 4811
MASKING TAPE 1"	24.25	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	MASKING TAPE 1"
MED STEEL DUSBIN PEDAL	850	SET	7323	NOIDA	1	1	Hk Mumbai/PARSVATECH JULY26 NOIDA (1).pdf	MED STEEL DUSBIN PEDAL
MICRO FIBER CLOTH	24.25	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	MICRO FIBER CLOTH
MICRO FIBER CLOTH [NOS] | HSN 63029300 | CHANGE TO GST 5pct	24.25	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	MICRO FIBER CLOTH [NOS] | HSN 63029300 | CHANGE TO GST 5pct
MICRO FIBER DUSTER 270 GSM Blue (FS)	39	PCS		Mahindra Finance - Delhi	1	1	FCGC- Delhi.pdf	MICRO FIBER DUSTER 270 GSM Blue (FS)
MICROFIBER DUSTER	20	PCS	63029300	NOIDA	1	1	Hk Mumbai/PARSVATECH JULY26 NOIDA (1).pdf	MICROFIBER DUSTER
MICROFIBER DUSTER BLUE	20	PCS	63029300	ETPL THANE, SIGMA 2ND FLOOR, SIGMA 7TH FLOOR	3	3	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	MICROFIBER DUSTER BLUE — ₹20
MICROFIBER DUSTER GREEN	20	PCS	63029300	ETPL THANE	1	1	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	MICROFIBER DUSTER GREEN
MICROFIBER DUSTER GREEN THICK IMP	65	PCS	63029300	D WING	1	1	Hk Mumbai/PARSVATECH JULY26 D WING.pdf	MICROFIBER DUSTER GREEN THICK IMP
MICROFIBER DUSTER MIX	20	PCS	63029300	3I SAKINAKA	1	1	Hk Mumbai/PARSVATECH JULY26 3I SAKINAKA.pdf	MICROFIBER DUSTER MIX
MICROFIBER DUSTER RED	20	PCS	63029300	ETPL THANE, SIGMA 2ND FLOOR	2	2	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	MICROFIBER DUSTER RED — ₹20
MICROFIBER DUSTER YELLOW	20	PCS	63029300	ETPL THANE, SIGMA 2ND FLOOR, SIGMA 7TH FLOOR	3	4	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	MICROFIBER DUSTER YELLOW — ₹20
MILK TP -COFFEE DAY-H	77	LTR		Mafatlal Chember -A wing, Mafatlal WS	2	2	purchaseorders (11).pdf	MILK TP -COFFEE DAY-H — ₹77
MOP ROD THREAD	140	PCS	9603	ETPL THANE, SIGMA 2ND FLOOR, SIGMA 7TH FLOOR	3	3	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	MOP ROD THREAD — ₹140
MOP ROD THREAD DRY	140	PCS	9603	NOIDA	1	1	Hk Mumbai/PARSVATECH JULY26 NOIDA (1).pdf	MOP ROD THREAD DRY
MOP ROD THREAD RED	140	PCS	9603	NOIDA	1	1	Hk Mumbai/PARSVATECH JULY26 NOIDA (1).pdf	MOP ROD THREAD RED
Madhur Sugar	70	KG		2nd Floor - Sigma IT Park, 7th Floor - Sigma IT Park	2	3	purchaseorders (10).pdf	Madhur Sugar — ₹70
Masking Tape 1 inch	24.25	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Masking Tape 1 inch
Micro Fiber Cloth	25	PCS		AMR Tech Park	1	2	Stepier - Banglore.pdf	Micro Fiber Cloth
Micro Fiber Duster 270 GSM (FS)	39	PCS		Mahindra Finance - Delhi	1	2	FCGC- Delhi.pdf	Micro Fiber Duster 270 GSM (FS)
Milk Bags	5	PKT		SS Plaza	1	1	Kaffine kingdom - Banglre.pdf	Milk Bags
Milk Powder 1 KG (FS)	615	KG		Sky mark - Noida	1	1	FCGC- Delhi.pdf	Milk Powder 1 KG (FS)
Multi Plug	120	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Multi Plug
Multiplug 16A	180	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Multiplug 16A
NAPTHALENE BALL	160	PKT	2902	NOIDA, SIGMA 2ND FLOOR, SIGMA 7TH FLOOR	3	3	Hk Mumbai/PARSVATECH JULY26 SIGMA 2ND FLOOR (1).pdf	NAPTHALENE BALL — ₹160
NESCAFE COFFEE POWDER	665	PKT		2nd Floor - Sigma IT Park, 7th Floor - Sigma IT Park	2	2	purchaseorders (10).pdf	NESCAFE COFFEE POWDER — ₹665
NONDUST BROOM	120	PCS	40169200	ETPL THANE	1	1	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	NONDUST BROOM
NOTE PAD [NOS] | HSN 4820	3.88	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	NOTE PAD [NOS] | HSN 4820
NOTICE BOARD PIN [PKT] | HSN 73191010	11.64	PKT		SS Plaza	1	1	Stepier - Banglore.pdf	NOTICE BOARD PIN [PKT] | HSN 73191010
NOVAJET STICKER PAPER MPL-1	242.5	PKT		SS Plaza	1	1	Stepier - Banglore.pdf	NOVAJET STICKER PAPER MPL-1
NOVAJET STICKER PAPER MPL-1 [PKT] | HSN 4802	242.5	PKT		SS Plaza	1	1	Stepier - Banglore.pdf	NOVAJET STICKER PAPER MPL-1 [PKT] | HSN 4802
Name Plate	80	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Name Plate
Note Pad	12	PCS		SS Plaza	1	2	Stepier - Banglore.pdf	Note Pad
Notice Board Pin	11.64	PKT		SS Plaza	1	2	Stepier - Banglore.pdf	Notice Board Pin
ODONIL ROOM FRESHNER SPRAY	92.15	CAN		SS Plaza	1	1	Stepier - Banglore.pdf	ODONIL ROOM FRESHNER SPRAY
ODONIL ROOM FRESHNER SPRAY	95	CAN		AMR Tech Park	1	1	Stepier - Banglore.pdf	ODONIL ROOM FRESHNER SPRAY
ODONIL ROOM FRESHNER SPRAY [NOS] | HSN 3307	92.15	CAN		SS Plaza	1	1	Stepier - Banglore.pdf	ODONIL ROOM FRESHNER SPRAY [NOS] | HSN 3307
ODONIL ZIPPER (FS)	51.5	PCS		Mahindra Finance - Delhi	1	3	FCGC- Delhi.pdf	ODONIL ZIPPER (FS)
OHP MARKER [NOS] | HSN 9608	6.76	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	OHP MARKER [NOS] | HSN 9608
OHP Marker	6.76	PCS		SS Plaza	1	2	Stepier - Banglore.pdf	OHP Marker
Odonil Room Freshener Spray	92.15	CAN		SS Plaza	1	1	Stepier - Banglore.pdf	Odonil Room Freshener Spray
Odonil Zipper	32	PCS		AMR Tech Park	1	1	Stepier - Banglore.pdf	Odonil Zipper
Orbit Toilet Brush (FS)	75	PCS		Sky mark - Noida	1	1	FCGC- Delhi.pdf	Orbit Toilet Brush (FS)
P P FOLDER	250	PKT	4820	ETPL THANE	1	1	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	P P FOLDER
PAPER CUP (210ML) (FS)	0.62	PCS		Mahindra Finance - Delhi	1	3	FCGC- Delhi.pdf	PAPER CUP (210ML) (FS)
PAPER CUP 90 ML	33.95	PKT		SS Plaza	1	1	Stepier - Banglore.pdf	PAPER CUP 90 ML
PAPER CUPS- 150ML	1.3	PCS	4823	3I SAKINAKA, MyGate	2	2	Hk Mumbai/PARSVATECH JULY26 MYGATE.pdf	PAPER CUPS- 150ML — ₹1.3
PAPER CUPS- 85ML	0.9	PCS	4823	ETPL THANE	1	1	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	PAPER CUPS- 85ML
PAPER CUTTER BIG	29.1	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	PAPER CUTTER BIG
PAPER CUTTER BIG [NOS] | HSN 8214	4.85	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	PAPER CUTTER BIG [NOS] | HSN 8214
PHOTO GLOSSY PAPERS [PKT] | HSN 4810	120	PKT		SS Plaza	1	1	Stepier - Banglore.pdf	PHOTO GLOSSY PAPERS [PKT] | HSN 4810
PLASTIC BUCKET 10 LTR [NOS] | HSN 3924	101	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	PLASTIC BUCKET 10 LTR [NOS] | HSN 3924
PLASTIC DUST PAN	27.16	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	PLASTIC DUST PAN
PLASTIC DUST PAN [NOS] | HSN 7323	27.16	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	PLASTIC DUST PAN [NOS] | HSN 7323
PLASTIC DUSTBIN 80 LTR SWING	630.5	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	PLASTIC DUSTBIN 80 LTR SWING
PLASTIC MUG	20	PCS	3923	CHARNI ROAD	1	1	Hk Mumbai/PARSVATECH JULY26 CHARNI ROAD (2).pdf	PLASTIC MUG
PLASTIC MUG [NOS] | HSN 39249090	19.4	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	PLASTIC MUG [NOS] | HSN 39249090
PLASTIC SCALE 12 inch [NOS] | HSN 90172010	7.76	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	PLASTIC SCALE 12 inch [NOS] | HSN 90172010
POST-IT 25X75cm COLOUR	32	PKT		SS Plaza	1	1	Stepier - Banglore.pdf	POST-IT 25X75cm COLOUR
PUNCH MACHINE NO.280	70	PCS	8472	NOIDA	1	1	Hk Mumbai/PARSVATECH JULY26 NOIDA (1).pdf	PUNCH MACHINE NO.280
Paper Cup 110 ML	33.95	PKT		SS Plaza	1	1	Stepier - Banglore.pdf	Paper Cup 110 ML
Paper Cup 110 ML [NOS] | HSN 48189000	33.95	PKT		SS Plaza	1	1	Stepier - Banglore.pdf	Paper Cup 110 ML [NOS] | HSN 48189000
Paper Cutter Blade Big	45	PKT		SS Plaza	1	1	Stepier - Banglore.pdf	Paper Cutter Blade Big
Paper Cutter Steel	29.1	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Paper Cutter Steel
Photo Glossy Papers	120	PKT		SS Plaza	1	2	Stepier - Banglore.pdf	Photo Glossy Papers
Plain Paper Cup	0.75	PCS		Mafatlal Chember -A wing, Mafatlal WS	2	2	purchaseorders (11).pdf	Plain Paper Cup — ₹0.75
Plant Fertilizer	35	PKT		SS Plaza	1	2	Stepier - Banglore.pdf	Plant Fertilizer
Plastic Bowl	85	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Plastic Bowl
Plastic Bucket 16 Ltr	160	PCS	3923	CHARNI ROAD	1	1	Hk Mumbai/PARSVATECH JULY26 CHARNI ROAD (2).pdf	Plastic Bucket 16 Ltr
Post-It Pad 3X3	35	PKT		SS Plaza	1	1	Stepier - Banglore.pdf	Post-It Pad 3X3
Premier Tissue Box	38	BOX		AMR Tech Park	1	1	Stepier - Banglore.pdf	Premier Tissue Box
Premier Tissue Box	38.8	BOX		SS Plaza	1	1	Stepier - Banglore.pdf	Premier Tissue Box
Premier Tissue Box [PKT] | HSN 48182000	38.8	BOX		SS Plaza	1	1	Stepier - Banglore.pdf	Premier Tissue Box [PKT] | HSN 48182000
Prill Liquid 425 Ml (FS)	99	BOTT		Mahindra Finance - Delhi	1	2	FCGC- Delhi.pdf	Prill Liquid 425 Ml (FS)
Prill Liquid 425ml (FS)	99	BOTT		Mahindra Finance - Delhi	1	1	FCGC- Delhi.pdf	Prill Liquid 425ml (FS)
Printed ID Card Set	120	SET		SS Plaza	1	1	Stepier - Banglore.pdf	Printed ID Card Set
Printed ID Card Set (UOM: SET)	100	SET		AMR Tech Park	1	1	Stepier - Banglore.pdf	Printed ID Card Set (UOM: SET)
R6 Liquid ( 5 Litre)	625	CAN	3402	ETPL THANE, NOIDA	2	2	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	R6 Liquid ( 5 Litre) — ₹625
R6 Liquid ( 5 Litre) REVA	625	CAN	3402	3I SAKINAKA, CHARNI ROAD, SIGMA 2ND FLOOR, SIGMA 7TH FLOOR	4	4	Hk Mumbai/PARSVATECH JULY26 SIGMA 2ND FLOOR (1).pdf	R6 Liquid ( 5 Litre) REVA — ₹625
REGISTER 2 QR [NOS] | HSN 48201010	46.56	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	REGISTER 2 QR [NOS] | HSN 48201010
REGISTER 4 QR	95.06	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	REGISTER 4 QR
REGISTER 4 QR [NOS] | HSN 48201010	95.06	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	REGISTER 4 QR [NOS] | HSN 48201010
REVA D 7 5 Ltr	1400	CAN	3402	NOIDA, SIGMA 2ND FLOOR, SIGMA 7TH FLOOR	3	3	Hk Mumbai/PARSVATECH JULY26 SIGMA 2ND FLOOR (1).pdf	REVA D 7 5 Ltr — ₹1400
REVA HAND WASH 5LTR	520	CAN	3402	CHARNI ROAD	1	1	Hk Mumbai/PARSVATECH JULY26 CHARNI ROAD (2).pdf	REVA HAND WASH 5LTR
REVA R1 - 5ltr	855	CAN	3402	CHARNI ROAD, NOIDA	2	2	Hk Mumbai/PARSVATECH JULY26 NOIDA (1).pdf	REVA R1 - 5ltr — ₹855
REVA R2 5 LTR	805	CAN	3402	CHARNI ROAD, NOIDA	2	2	Hk Mumbai/PARSVATECH JULY26 NOIDA (1).pdf	REVA R2 5 LTR — ₹805
REVA R3 - 5ltr	875	CAN	3402	CHARNI ROAD	1	1	Hk Mumbai/PARSVATECH JULY26 CHARNI ROAD (2).pdf	REVA R3 - 5ltr
REVA R4 5 LTR	1335	CAN	3402	CHARNI ROAD	1	1	Hk Mumbai/PARSVATECH JULY26 CHARNI ROAD (2).pdf	REVA R4 5 LTR
REVA R5 LTR	795	CAN	3402	CHARNI ROAD, D WING, MyGate, NOIDA	4	4	Hk Mumbai/PARSVATECH JULY26 D WING.pdf	REVA R5 LTR — ₹795
REVA TR 101 5LTR	900	CAN	3402	NOIDA	1	1	Hk Mumbai/PARSVATECH JULY26 NOIDA (1).pdf	REVA TR 101 5LTR
ROOM FRESHNER SPRAY ODONIL (FS)	115	CAN		Mahindra Finance - Delhi	1	3	FCGC- Delhi.pdf	ROOM FRESHNER SPRAY ODONIL (FS)
ROOSH ASSAM TEA NEW	190	PKT		Mafatlal Chember -A wing, Mafatlal WS	2	2	purchaseorders (11).pdf	ROOSH ASSAM TEA NEW — ₹190
ROOSH CARDAMOM TEA	285	PKT		Mafatlal Chember -A wing	1	1	purchaseorders (11).pdf	ROOSH CARDAMOM TEA
ROOSH GINGER TEA	285	PKT		Mafatlal Chember -A wing, Mafatlal WS	2	2	purchaseorders (11).pdf	ROOSH GINGER TEA — ₹285
ROOSH GREEN TEA	120	PKT		Mafatlal Chember -A wing, Mafatlal WS	2	2	purchaseorders (11).pdf	ROOSH GREEN TEA — ₹120
ROOSH MASALA TEA	285	PKT		Mafatlal Chember -A wing, Mafatlal WS	2	2	purchaseorders (11).pdf	ROOSH MASALA TEA — ₹285
ROOSH NEW LEMON TEA	120	PKT		Mafatlal Chember -A wing	1	1	purchaseorders (11).pdf	ROOSH NEW LEMON TEA
RUBBER BAND 2 inch [PKT] | HSN 4016 | CHANGE TO GST 12pct	35	PKT		SS Plaza	1	1	Stepier - Banglore.pdf	RUBBER BAND 2 inch [PKT] | HSN 4016 | CHANGE TO GST 12pct
Register 1 QR	38.8	PCS		SS Plaza	1	2	Stepier - Banglore.pdf	Register 1 QR
Register 1 Qr [NOS] | HSN 48201010	38.8	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Register 1 Qr [NOS] | HSN 48201010
Register 2 QR	46.56	PCS		SS Plaza	1	2	Stepier - Banglore.pdf	Register 2 QR
Register 2 QR	85	PCS		AMR Tech Park	1	1	Stepier - Banglore.pdf	Register 2 QR
Register 3 QR	65.96	PCS		SS Plaza	1	2	Stepier - Banglore.pdf	Register 3 QR
Register 3 Qr [NOS] | HSN 48201010	65.96	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Register 3 Qr [NOS] | HSN 48201010
Register 5 QR	104.76	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Register 5 QR
Register 5Q	104.76	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Register 5Q
Register 5Q [NOS] | HSN 4820	104.76	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Register 5Q [NOS] | HSN 4820
Roastea Detox Kahwa Green Tea	5	PKT		SS Plaza	1	1	Kaffine kingdom - Banglre.pdf	Roastea Detox Kahwa Green Tea
Rubber Band 2 inch	35	PKT		SS Plaza	1	1	Stepier - Banglore.pdf	Rubber Band 2 inch
Rubber Hand Glose Blue	22	PAIR		SS Plaza	1	1	Stepier - Banglore.pdf	Rubber Hand Glose Blue
Rubber Hand Glose Blue [PKT] | HSN 4015	22	PAIR		SS Plaza	1	1	Stepier - Banglore.pdf	Rubber Hand Glose Blue [PKT] | HSN 4015
Rubber Hand Gloves Blue	22	PAIR		SS Plaza	1	1	Stepier - Banglore.pdf	Rubber Hand Gloves Blue
SCISSOR AMKAY MIDDIUM (FS)	75	PCS		Mahindra Finance - Delhi	1	1	FCGC- Delhi.pdf	SCISSOR AMKAY MIDDIUM (FS)
SCISSOR MEDIUM SIZE	29.1	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	SCISSOR MEDIUM SIZE
SCISSOR MEDIUM SIZE [NOS] | HSN 82130000	29.1	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	SCISSOR MEDIUM SIZE [NOS] | HSN 82130000
SCISSORS	85	PCS	8213	NOIDA	1	1	Hk Mumbai/PARSVATECH JULY26 NOIDA (1).pdf	SCISSORS
SCISSORS MED	85	PCS	8213	D WING	1	1	Hk Mumbai/PARSVATECH JULY26 D WING.pdf	SCISSORS MED
SCOTCH BRITE 3M	16	PCS	7323	3I SAKINAKA, ETPL THANE, MyGate	3	3	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	SCOTCH BRITE 3M — ₹16
SCOTCH BRITE SMALL [NOS] | HSN 68053000	9.7	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	SCOTCH BRITE SMALL [NOS] | HSN 68053000
SCOTCH BRITE WITH SPONGE3M	30	PCS	7323	CHARNI ROAD, D WING, NOIDA	3	3	Hk Mumbai/PARSVATECH JULY26 D WING.pdf	SCOTCH BRITE WITH SPONGE3M — ₹30
SHEET PROTECTOR A4 [NOS] | HSN 3926	2.42	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	SHEET PROTECTOR A4 [NOS] | HSN 3926
SINGLE DISC MACHINE 1.5HP FULL SET	33500	SET	4820	NOIDA	1	1	Hk Mumbai/PARSVATECH JULY26 NOIDA (1).pdf	SINGLE DISC MACHINE 1.5HP FULL SET
SOAP DISPENSAR	450	SET	84182100	NOIDA	1	1	Hk Mumbai/PARSVATECH JULY26 NOIDA (1).pdf	SOAP DISPENSAR
SOFT BROOM	77.6	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	SOFT BROOM
SPOON SS STEEL MED	35	PCS	3924	D WING	1	1	Hk Mumbai/PARSVATECH JULY26 D WING.pdf	SPOON SS STEEL MED
SPRAY BOTTLE	40	PCS	3923	ETPL THANE, NOIDA	2	2	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	SPRAY BOTTLE — ₹40
SPRAY BOTTLE 1000ML [NOS] | HSN 3923	29.1	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	SPRAY BOTTLE 1000ML [NOS] | HSN 3923
SPRING FILE	11.46	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	SPRING FILE
SPRING FILE [NOS] | HSN 4820	11.64	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	SPRING FILE [NOS] | HSN 4820
SS DUSTBIN 5 L	450	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	SS DUSTBIN 5 L
STAINLESS STEEL KNIFE [NOS] | HSN 82159900	29.1	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	STAINLESS STEEL KNIFE [NOS] | HSN 82159900
STAPLER MACHINE MAX NO.10	65	PCS	8472	NOIDA	1	1	Hk Mumbai/PARSVATECH JULY26 NOIDA (1).pdf	STAPLER MACHINE MAX NO.10
STEEL SCALE 12"	25	PCS	9017	NOIDA	1	1	Hk Mumbai/PARSVATECH JULY26 NOIDA (1).pdf	STEEL SCALE 12"
STEEL SCALE 12''	7.76	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	STEEL SCALE 12''
STEEL SCRUBBER [NOS] | HSN 3402	7.76	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	STEEL SCRUBBER [NOS] | HSN 3402
SUGAR SACHETS	0.7	PCS		Mafatlal Chember -A wing, Mafatlal WS	2	2	purchaseorders (11).pdf	SUGAR SACHETS — ₹0.7
SURGICAL HAND GLOVES (FS)	265	BOX		Mahindra Finance - Delhi	1	3	FCGC- Delhi.pdf	SURGICAL HAND GLOVES (FS)
Sani Cube	70	PKT	3307	NOIDA, SIGMA 2ND FLOOR, SIGMA 7TH FLOOR	3	3	Hk Mumbai/PARSVATECH JULY26 SIGMA 2ND FLOOR (1).pdf	Sani Cube — ₹70
