Line Item	Price	Unit	HSN	Applicable Site(s)	Site Count	Source PO/Invoice Count	Example Source File	App Display Name
BROWN TAPE 3 inch [NOS] | HSN 3919	24.25	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	BROWN TAPE 3 inch [NOS] | HSN 3919
BROWN TAPE 3''	24.25	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	BROWN TAPE 3''
BRU COFFEE	1050	PKT	2101	3I SAKINAKA	1	1	Hk Mumbai/PARSVATECH JULY26 3I SAKINAKA.pdf	BRU COFFEE
Ball Pen Blue	2.91	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Ball Pen Blue
Beverage Supplies (21011200) Kg	820	KG		Mafatlal Chember -A wing	1	1	purchaseorders (11).pdf	Beverage Supplies (21011200) Kg
Bevzilla Assorted Instant Coffee (FS)	3.7	PCS		Sky mark - Noida	1	1	FCGC- Delhi.pdf	Bevzilla Assorted Instant Coffee (FS)
Bevzilla Coffee Bottle 75 GRM (FS)	348	BOTT		Sky mark - Noida	1	1	FCGC- Delhi.pdf	Bevzilla Coffee Bottle 75 GRM (FS)
Bisleri 250 ML	135	BOX		SS Plaza	1	1	Stepier - Banglore.pdf	Bisleri 250 ML
Bisleri Water 250 ML (FS)	150	BOX		Mahindra Finance - Delhi	1	1	FCGC- Delhi.pdf	Bisleri Water 250 ML (FS)
Black Hit 200ml (FS)	95	CAN		Mahindra Finance - Delhi	1	2	FCGC- Delhi.pdf	Black Hit 200ml (FS)
Borosil Glass Large (FS)	495	SET		Sky mark - Noida	1	1	FCGC- Delhi.pdf	Borosil Glass Large (FS)
Bottle Brush	24.25	PCS		SS Plaza	1	2	Stepier - Banglore.pdf	Bottle Brush
Bottle Brush [NOS] | HSN 96031000	24.25	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Bottle Brush [NOS] | HSN 96031000
Brown Cover Sheet	9.7	PCS		SS Plaza	1	2	Stepier - Banglore.pdf	Brown Cover Sheet
Brown Paper Cover Roll	174.6	ROLL		SS Plaza	1	2	Stepier - Banglore.pdf	Brown Paper Cover Roll
Brown Paper Cover Roll [ROLL] | HSN 39231010	174.6	ROLL		SS Plaza	1	1	Stepier - Banglore.pdf	Brown Paper Cover Roll [ROLL] | HSN 39231010
Brown Tape 3 inch	24.25	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	Brown Tape 3 inch
CADDY BUCKET	220	PCS	9603	NOIDA	1	1	Hk Mumbai/PARSVATECH JULY26 NOIDA (1).pdf	CADDY BUCKET
CALCULATOR MACHINE	280	PCS	8470	D WING	1	1	Hk Mumbai/PARSVATECH JULY26 D WING.pdf	CALCULATOR MACHINE
CAMEL MARKER	20	PCS	9608	ETPL THANE	1	1	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	CAMEL MARKER
CAMLIN WB MARKER PEN BLACK	24	PCS	96082000	NOIDA	1	1	Hk Mumbai/PARSVATECH JULY26 NOIDA (1).pdf	CAMLIN WB MARKER PEN BLACK
CARBON PAPER BLUE	180	PKT	4816	SIGMA 2ND FLOOR, SIGMA 7TH FLOOR	2	2	Hk Mumbai/PARSVATECH JULY26 SIGMA 2ND FLOOR (1).pdf	CARBON PAPER BLUE — ₹180
